D5064,59,10,D5065,39,15
D5064,66,16,D5065,85,12
D5064,40,38,D5065,85,17
D5064,59,38,D5065,13,15
D5064,66,44,D5065,60,39
D5064,66,76,D5065,34,71
D5064,59,70,D5065,90,16
D5064,40,70,D5065,60,44
D5064,84,18,D5065,14,72
D5064,85,45,D5065,90,12
D5064,83,77,D5065,65,39
D5064,91,11,D5061,60,76
D5064,92,38,D5061,34,16
D5064,90,70,D5061,8,44
D5064,7,17,D5062,89,71
D5064,7,45,D5062,65,11
D5064,8,78,D5062,39,39
D5064,66,10,D5063,84,76
D5064,84,11,D5063,13,43
D5064,91,17,D5063,60,11
D5064,66,38,D5063,60,16
D5064,85,38,D5063,91,43
D5064,92,44,D5063,34,39
D5064,90,76,D5063,9,72
D5064,83,70,D5063,65,43
D5064,66,70,D5063,34,44
D5065,70,10,D5067,89,75
D5065,14,16,D5067,34,39
D5065,33,17,D5067,65,11
D5065,7,38,D5067,65,75
D5065,14,44,D5067,9,72
D5065,33,45,D5067,39,39
D5065,8,71,D5067,39,75
D5065,15,77,D5067,85,12
D5065,33,77,D5067,14,72
D5065,14,10,D5065,34,16
D5065,33,10,D5065,65,15
D5065,40,16,D5065,8,39
D5065,59,17,D5065,39,11
D5065,14,38,D5065,8,44
D5065,33,38,D5065,39,15
D5065,40,44,D5065,84,71
D5065,59,45,D5065,13,39
D5065,15,71,D5065,84,76
D5065,33,70,D5065,13,15
D5065,40,76,D5065,60,11
D5065,59,77,D5065,89,71
D5065,40,10,D5063,8,16
D5065,59,10,D5063,39,43
D5065,66,16,D5063,86,39
D5065,84,18,D5063,13,11
D5065,40,38,D5063,86,44
D5065,59,38,D5063,13,43
D5065,66,44,D5063,60,71
D5065,85,45,D5063,91,39
D5065,40,70,D5063,60,76
D5065,59,70,D5063,91,43
D5065,66,76,D5063,34,11
D5065,83,77,D5063,65,71
D5065,66,10,D5061,85,17
D5065,84,11,D5061,14,76
D5065,91,17,D5061,60,39
D5065,66,38,D5061,60,44
D5065,85,38,D5061,89,75
D5065,92,44,D5061,34,71
D5065,66,70,D5061,34,76
D5065,83,70,D5061,65,75
D5065,90,76,D5061,8,11
D5065,7,17,D5069,90,12
D5065,7,45,D5069,65,39
D5065,8,78,D5069,39,71
D5065,91,11,D5068,60,16
D5065,92,38,D5068,34,44
D5065,90,70,D5068,9,77
D5066,7,10,D5065,90,16
D5066,14,16,D5065,34,71
D5066,33,17,D5065,65,39
D5066,7,38,D5065,65,15
D5066,14,44,D5065,8,11
D5066,33,45,D5065,39,71
D5066,8,71,D5065,39,15
D5066,15,77,D5065,86,39
D5066,33,77,D5065,13,11
D5066,14,10,D5063,34,44
D5066,33,10,D5063,65,43
D5066,40,16,D5063,9,72
D5066,59,17,D5063,39,39
D5066,14,38,D5063,9,77
D5066,33,38,D5063,39,43
D5066,40,44,D5063,85,12
D5066,59,45,D5063,14,72
D5066,15,71,D5063,85,17
D5066,33,70,D5063,13,43
D5066,40,76,D5063,60,39
D5066,59,77,D5063,90,12
D5066,40,10,D5061,8,44
D5066,59,10,D5061,39,75
D5066,66,16,D5061,84,71
D5066,84,18,D5061,13,39
D5066,40,38,D5061,84,76
D5066,59,38,D5061,14,76
D5066,66,44,D5061,60,11
D5066,84,45,D5061,89,71
D5066,40,70,D5061,60,16
D5066,59,70,D5061,89,75
D5066,66,76,D5061,34,39
D5066,83,77,D5061,65,11
D5066,66,10,D5068,86,44
D5066,84,11,D5068,13,15
D5066,91,17,D5068,60,71
D5066,66,38,D5068,60,76
D5066,85,38,D5068,90,16
D5066,92,44,D5068,34,71
D5066,66,70,D5068,34,16
D5066,83,70,D5068,65,15
D5066,90,76,D5068,8,39
D5066,7,17,D5067,91,39
D5066,7,45,D5067,65,71
D5066,8,78,D5067,8,16
D5066,91,11,D5066,60,44
D5066,92,38,D5066,34,76
D5066,90,70,D5066,8,16
D5067,14,10,D5061,34,76
D5067,33,10,D5061,65,75
D5067,40,16,D5061,8,11
D5067,59,17,D5061,39,71
D5067,14,38,D5061,8,16
D5067,33,38,D5061,39,75
D5067,40,44,D5061,86,39
D5067,59,45,D5061,13,11
D5067,15,71,D5061,86,44
D5067,33,70,D5061,14,76
D5067,40,76,D5061,60,71
D5067,59,77,D5061,91,39
D5067,40,10,D5068,9,77
D5067,59,10,D5068,39,15
D5067,66,16,D5068,85,12
D5067,84,18,D5068,14,72
D5067,40,38,D5068,85,17
D5067,59,38,D5068,13,15
D5067,66,44,D5068,60,39
D5067,85,45,D5068,90,12
D5067,40,70,D5068,60,44
D5067,59,70,D5068,90,16
D5067,66,76,D5068,34,71
D5067,83,77,D5068,65,39
D5067,66,10,D5066,84,76
D5067,84,11,D5066,13,43
D5067,91,17,D5066,60,11
D5067,66,38,D5066,60,16
D5067,85,38,D5066,91,43
D5067,92,44,D5066,34,39
D5067,66,70,D5066,34,44
D5067,83,70,D5066,65,43
D5067,90,76,D5066,9,72
D5067,7,10,D5063,91,43
D5067,14,16,D5063,34,11
D5067,33,17,D5063,65,71
D5067,7,38,D5063,65,43
D5067,14,44,D5063,8,39
D5067,33,45,D5063,39,11
D5067,8,71,D5063,39,43
D5067,15,77,D5063,84,71
D5067,33,77,D5063,13,39
D5067,7,17,D5065,89,71
D5067,7,45,D5065,65,11
D5067,8,78,D5065,39,39
D5067,91,11,D5064,60,76
D5067,92,38,D5064,34,16
D5067,90,70,D5064,8,44
D5068,7,10,D5061,89,75
D5068,14,16,D5061,34,39
D5068,33,17,D5061,65,11
D5068,7,38,D5061,65,75
D5068,14,44,D5061,9,72
D5068,33,45,D5061,39,39
D5068,8,71,D5061,39,75
D5068,15,77,D5061,85,12
D5068,33,77,D5061,14,72
D5068,14,10,D5068,34,16
D5068,33,10,D5068,65,15
D5068,40,16,D5068,8,39
D5068,59,17,D5068,39,11
D5068,14,38,D5068,8,44
D5068,33,38,D5068,39,15
D5068,40,44,D5068,84,71
D5068,59,45,D5068,13,39
D5068,15,71,D5068,84,76
D5068,33,70,D5068,13,15
D5068,40,76,D5068,60,11
D5068,59,77,D5068,89,71
D5068,40,10,D5066,8,16
D5068,59,10,D5066,39,43
D5068,66,16,D5066,86,39
D5068,84,18,D5066,13,11
D5068,40,38,D5066,86,44
D5068,59,38,D5066,13,43
D5068,66,44,D5066,60,71
D5068,85,45,D5066,91,39
D5068,40,70,D5066,60,76
D5068,59,70,D5066,91,43
D5068,66,76,D5066,34,11
D5068,83,77,D5066,65,71
D5068,66,10,D5064,85,17
D5068,84,11,D5064,14,76
D5068,91,17,D5064,60,39
D5068,66,38,D5064,60,44
D5068,85,38,D5064,89,75
D5068,66,70,D5064,34,76
D5068,83,70,D5064,65,75
D5068,90,76,D5064,8,11
D5068,7,17,D5063,90,12
D5068,7,45,D5063,65,39
D5068,8,78,D5063,39,71
D5068,91,11,D5071,60,16
D5068,92,38,D5071,34,44
D5068,90,70,D5071,9,77
D5068,92,44,D5071,8,10
D5069,14,10,D5066,34,44
D5069,33,10,D5066,65,43
D5069,40,16,D5066,9,72
D5069,59,17,D5066,39,39
D5069,14,38,D5066,9,77
D5069,33,38,D5066,39,43
D5069,40,44,D5066,85,12
D5069,59,45,D5066,14,72
D5069,15,71,D5066,85,17
D5069,33,70,D5066,13,43
D5069,40,76,D5066,60,39
D5069,59,77,D5066,90,12
D5069,40,10,D5064,8,44
D5069,59,10,D5064,39,75
D5069,66,16,D5064,84,71
D5069,84,18,D5064,13,39
D5069,40,38,D5064,84,76
D5069,59,38,D5064,14,76
D5069,66,44,D5064,60,11
D5069,85,45,D5064,89,71
D5069,40,70,D5064,60,16
D5069,59,70,D5064,89,75
D5069,66,76,D5064,34,39
D5069,83,77,D5064,65,11
D5069,66,10,D5062,86,44
D5069,84,11,D5062,13,15
D5069,91,17,D5062,60,71
D5069,66,38,D5062,60,76
D5069,85,38,D5062,90,16
D5069,92,44,D5062,34,11
D5069,66,70,D5062,34,16
D5069,83,70,D5062,65,15
D5069,90,76,D5062,8,39
D5069,7,10,D5068,90,16
D5069,14,16,D5068,34,71
D5069,33,17,D5068,65,39
D5069,7,38,D5068,65,15
D5069,14,44,D5068,8,11
D5069,33,45,D5068,39,71
D5069,8,71,D5068,39,15
D5069,15,77,D5068,86,39
D5069,33,77,D5068,13,11
D5069,7,17,D5061,91,39
D5069,7,45,D5061,65,71
D5069,8,78,D5061,39,11
D5069,90,70,D5069,8,16
D5069,92,38,D5069,34,76
D5069,90,70,D5069,8,16
D5071,7,9,D5068,91,43
D5071,39,43,D5072,7,51
